Channel_Die,Start,End,Operation
-1--1,5400480,5400482,COMPUTE
-1--1,5400496,5400498,COMPUTE
-1--1,5400512,5400514,COMPUTE
-1--1,5400528,5400530,COMPUTE
-1--1,5400544,5400546,COMPUTE
-1--1,5450560,5450564,COMPUTE
1-2,5450576,10950944,READ
-1--1,5500592,5500594,COMPUTE
-1--1,5500608,5500610,COMPUTE
-1--1,5500624,5500628,COMPUTE
1-6,5500640,5950672,READ
-1--1,5550480,5550482,COMPUTE
-1--1,5600496,5600498,COMPUTE
-1--1,5650512,5650514,COMPUTE
-1--1,5650528,5650530,COMPUTE
-1--1,5650544,5650546,COMPUTE
-1--1,5650560,5650562,COMPUTE
-1--1,5700576,5700578,COMPUTE
-1--1,5700592,5700594,COMPUTE
-1--1,5750608,5750610,COMPUTE
-1--1,5750624,5750628,COMPUTE
1-5,5750640,7150736,READ
-1--1,5750656,5750660,COMPUTE
1-7,5750672,7900816,READ
-1--1,5850512,5850514,COMPUTE
-1--1,5850528,5850530,COMPUTE
-1--1,5900544,5900546,COMPUTE
-1--1,5900560,5900564,COMPUTE
1-0,5900576,6300608,READ
-1--1,5950592,5950594,COMPUTE
-1--1,5950608,5950612,COMPUTE
1-3,5950624,7650736,READ
-1--1,6000640,6000642,COMPUTE
-1--1,6000656,6000660,COMPUTE
1-6,6000672,7400768,READ
-1--1,6000688,6000690,COMPUTE
-1--1,6100528,6100530,COMPUTE
-1--1,6100544,6100548,COMPUTE
1-10,6100560,6550592,READ
-1--1,6100576,6100578,COMPUTE
-1--1,6150592,6150594,COMPUTE
-1--1,6200608,6200610,COMPUTE
-1--1,6200624,6200626,COMPUTE
-1--1,6200640,6200642,COMPUTE
-1--1,6250656,6250658,COMPUTE
-1--1,6250672,6250674,COMPUTE
-1--1,6250688,6250690,COMPUTE
-1--1,6250704,6250706,COMPUTE
-1--1,6350544,6350546,COMPUTE
-1--1,6350560,6350562,COMPUTE
-1--1,6350576,6350582,COMPUTE
1-11,6350592,6500608,READ
1-0,6350608,7050656,READ
