Channel_Die,Start,End,Operation
-1--1,2450944,2450946,COMPUTE
-1--1,2450960,2450962,COMPUTE
-1--1,2500800,2500802,COMPUTE
-1--1,2500816,2500818,COMPUTE
-1--1,2500832,2500834,COMPUTE
-1--1,2500848,2500850,COMPUTE
-1--1,2500864,2500866,COMPUTE
-1--1,2500880,2500882,COMPUTE
-1--1,2500896,2500898,COMPUTE
-1--1,2500912,2500914,COMPUTE
-1--1,2500928,2500930,COMPUTE
-1--1,2500944,2500946,COMPUTE
-1--1,2500960,2500962,COMPUTE
-1--1,2500976,2500978,COMPUTE
-1--1,2550816,2550818,COMPUTE
-1--1,2550832,2550834,COMPUTE
-1--1,2550848,2550850,COMPUTE
-1--1,2550864,2550866,COMPUTE
-1--1,2550880,2550882,COMPUTE
-1--1,2550896,2550898,COMPUTE
-1--1,2550912,2550914,COMPUTE
-1--1,2550928,2550930,COMPUTE
-1--1,2550944,2550946,COMPUTE
-1--1,2550960,2550962,COMPUTE
-1--1,2550976,2550978,COMPUTE
-1--1,2550992,2550994,COMPUTE
-1--1,2600832,2600834,COMPUTE
-1--1,2600848,2600850,COMPUTE
-1--1,2600864,2600866,COMPUTE
-1--1,2600880,2600882,COMPUTE
-1--1,2600896,2600898,COMPUTE
-1--1,2600912,2600914,COMPUTE
-1--1,2600928,2600930,COMPUTE
-1--1,2600944,2600946,COMPUTE
-1--1,2600960,2600962,COMPUTE
-1--1,2600976,2600978,COMPUTE
-1--1,2600992,2600994,COMPUTE
-1--1,2601008,2601010,COMPUTE
-1--1,2650848,2650850,COMPUTE
-1--1,2650864,2650866,COMPUTE
-1--1,2650880,2650882,COMPUTE
-1--1,2650896,2650898,COMPUTE
-1--1,2650912,2650914,COMPUTE
-1--1,2650928,2650930,COMPUTE
-1--1,2650944,2650946,COMPUTE
-1--1,2650960,2650962,COMPUTE
-1--1,2650976,2650978,COMPUTE
-1--1,2650992,2650994,COMPUTE
-1--1,2651008,2651010,COMPUTE
-1--1,2651024,2651026,COMPUTE
-1--1,2700864,2700866,COMPUTE
-1--1,2700880,2700882,COMPUTE
-1--1,2700896,2700898,COMPUTE
-1--1,2700912,2700914,COMPUTE
-1--1,2700928,2700930,COMPUTE
-1--1,2700944,2700946,COMPUTE
-1--1,2700960,2700962,COMPUTE
-1--1,2700976,2700978,COMPUTE
-1--1,2700992,2700994,COMPUTE
-1--1,2701008,2701010,COMPUTE
-1--1,2701024,2701026,COMPUTE
-1--1,2701040,2701042,COMPUTE
-1--1,2750880,2750882,COMPUTE
-1--1,2750896,2750898,COMPUTE
-1--1,2750912,2750914,COMPUTE
-1--1,2750928,2750930,COMPUTE
-1--1,2750944,2750946,COMPUTE
-1--1,2750960,2750962,COMPUTE
-1--1,2750976,2750978,COMPUTE
-1--1,2750992,2750994,COMPUTE
-1--1,2751008,2751010,COMPUTE
-1--1,2751024,2751026,COMPUTE
-1--1,2751040,2751042,COMPUTE
-1--1,2751056,2751058,COMPUTE
-1--1,2800896,2800898,COMPUTE
-1--1,2800912,2800914,COMPUTE
-1--1,2800928,2800930,COMPUTE
-1--1,2800944,2800946,COMPUTE
-1--1,2800960,2800962,COMPUTE
-1--1,2800976,2800978,COMPUTE
-1--1,2800992,2800994,COMPUTE
-1--1,2801008,2801010,COMPUTE
-1--1,2801024,2801026,COMPUTE
-1--1,2801040,2801042,COMPUTE
-1--1,2801056,2801058,COMPUTE
-1--1,2801072,2801074,COMPUTE
-1--1,2850912,2850914,COMPUTE
-1--1,2850928,2850930,COMPUTE
-1--1,2850944,2850946,COMPUTE
-1--1,2850960,2850962,COMPUTE
-1--1,2850976,2850978,COMPUTE
-1--1,2850992,2850994,COMPUTE
-1--1,2851008,2851010,COMPUTE
-1--1,2851024,2851026,COMPUTE
-1--1,2851040,2851042,COMPUTE
-1--1,2851056,2851058,COMPUTE
-1--1,2851072,2851074,COMPUTE
-1--1,2851088,2851090,COMPUTE
